epoch=1,train_loss=0.447788,val_loss=0.378600,balanced_accuracy=0.793175,threshold=0.53
epoch=2,train_loss=0.396252,val_loss=0.369324,balanced_accuracy=0.799693,threshold=0.43
epoch=3,train_loss=0.395991,val_loss=0.374758,balanced_accuracy=0.798430,threshold=0.41
epoch=4,train_loss=0.393690,val_loss=0.368398,balanced_accuracy=0.801439,threshold=0.43
epoch=5,train_loss=0.396071,val_loss=0.368938,balanced_accuracy=0.802316,threshold=0.46
epoch=6,train_loss=0.393803,val_loss=0.369913,balanced_accuracy=0.800816,threshold=0.50
epoch=7,train_loss=0.391557,val_loss=0.371431,balanced_accuracy=0.801439,threshold=0.49
epoch=8,train_loss=0.392485,val_loss=0.367368,balanced_accuracy=0.801316,threshold=0.42
epoch=9,train_loss=0.392379,val_loss=0.369202,balanced_accuracy=0.801816,threshold=0.36
epoch=10,train_loss=0.391399,val_loss=0.365644,balanced_accuracy=0.801316,threshold=0.50
epoch=11,train_loss=0.390202,val_loss=0.367921,balanced_accuracy=0.802061,threshold=0.36
epoch=12,train_loss=0.389360,val_loss=0.368584,balanced_accuracy=0.801570,threshold=0.54
epoch=13,train_loss=0.388351,val_loss=0.365419,balanced_accuracy=0.801439,threshold=0.47
epoch=14,train_loss=0.388723,val_loss=0.367171,balanced_accuracy=0.802816,threshold=0.51
epoch=15,train_loss=0.388568,val_loss=0.366512,balanced_accuracy=0.802316,threshold=0.48
epoch=16,train_loss=0.388440,val_loss=0.367045,balanced_accuracy=0.801816,threshold=0.37
epoch=17,train_loss=0.387836,val_loss=0.365183,balanced_accuracy=0.801439,threshold=0.50
epoch=18,train_loss=0.387077,val_loss=0.365164,balanced_accuracy=0.801439,threshold=0.43
epoch=19,train_loss=0.387482,val_loss=0.365152,balanced_accuracy=0.802316,threshold=0.42
epoch=20,train_loss=0.386918,val_loss=0.365220,balanced_accuracy=0.802316,threshold=0.50
epoch=21,train_loss=0.387520,val_loss=0.363980,balanced_accuracy=0.801816,threshold=0.46
epoch=22,train_loss=0.386805,val_loss=0.364875,balanced_accuracy=0.801439,threshold=0.42
epoch=23,train_loss=0.386551,val_loss=0.364919,balanced_accuracy=0.801439,threshold=0.44
epoch=24,train_loss=0.386747,val_loss=0.365269,balanced_accuracy=0.801439,threshold=0.44
epoch=25,train_loss=0.387830,val_loss=0.365142,balanced_accuracy=0.801439,threshold=0.44
